Code,Occupation,Occupation Types
11-3021.00,Computer and Information Systems Managers,Managerial
11-9041.00,Architectural and Engineering Managers,Managerial
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Managerial
11-9111.00,Medical and Health Services Managers,Managerial
11-9121.00,Natural Sciences Managers,Managerial
11-9121.01,Clinical Research Coordinators,Managerial
11-9121.02,Water Resource Specialists,Managerial
15-1111.00,Computer and Information Research Scientists,"Research, Development, Design, and Practitioners"
15-1121.00,Computer Systems Analysts,"Research, Development, Design, and Practitioners"
15-1121.01,Informatics Nurse Specialists,"Research, Development, Design, and Practitioners"
15-1122.00,Information Security Analysts,"Research, Development, Design, and Practitioners"
15-1131.00,Computer Programmers,Technologists and Technicians
15-1132.00,"Software Developers, Applications","Research, Development, Design, and Practitioners"
15-1133.00,"Software Developers, Systems Software","Research, Development, Design, and Practitioners"
15-1134.00,Web Developers,"Research, Development, Design, and Practitioners"
15-1141.00,Database Administrators,"Research, Development, Design, and Practitioners"
15-1142.00,Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners"
15-1143.00,Computer Network Architects,"Research, Development, Design, and Practitioners"
15-1143.01,Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners"
15-1151.00,Computer User Support Specialists,Technologists and Technicians
15-1152.00,Computer Network Support Specialists,Technologists and Technicians
15-1199.00,"Computer Occupations, All Other","Research, Development, Design, and Practitioners"
15-1199.01,Software Quality Assurance Engineers and Testers,"Research, Development, Design, and Practitioners"
15-1199.02,Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners"
15-1199.03,Web Administrators,"Research, Development, Design, and Practitioners"
15-1199.04,Geospatial Information Scientists and Technologists,"Research, Development, Design, and Practitioners"
15-1199.05,Geographic Information Systems Technicians,"Research, Development, Design, and Practitioners"
15-1199.06,Database Architects,"Research, Development, Design, and Practitioners"
15-1199.07,Data Warehousing Specialists,"Research, Development, Design, and Practitioners"
15-1199.08,Business Intelligence Analysts,"Research, Development, Design, and Practitioners"
15-1199.09,Information Technology Project Managers,"Research, Development, Design, and Practitioners"
15-1199.10,Search Marketing Strategists,"Research, Development, Design, and Practitioners"
15-1199.11,Video Game Designers,"Research, Development, Design, and Practitioners"
15-1199.12,Document Management Specialists,"Research, Development, Design, and Practitioners"
15-2011.00,Actuaries,"Research, Development, Design, and Practitioners"
15-2021.00,Mathematicians,"Research, Development, Design, and Practitioners"
15-2031.00,Operations Research Analysts,"Research, Development, Design, and Practitioners"
15-2041.00,Statisticians,"Research, Development, Design, and Practitioners"
15-2041.01,Biostatisticians,"Research, Development, Design, and Practitioners"
15-2041.02,Clinical Data Managers,"Research, Development, Design, and Practitioners"
15-2091.00,Mathematical Technicians,Technologists and Technicians
15-2099.00,"Mathematical Science Occupations, All Other","Research, Development, Design, and Practitioners"
17-1011.00,"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners"
17-1012.00,Landscape Architects,"Research, Development, Design, and Practitioners"
17-1021.00,Cartographers and Photogrammetrists,Technologists and Technicians
17-1022.00,Surveyors,Technologists and Technicians
