soc_code,stem
11-3021,1
11-9041,1
11-9121,1
15-1111,1
15-1121,1
15-1122,1
15-1131,1
15-1132,1
15-1133,1
15-1134,1
15-1141,1
15-1142,1
15-1143,1
15-1151,1
15-1152,1
15-1199,1
15-2011,1
15-2021,1
15-2031,1
15-2041,1
15-2091,1
15-2099,1
17-1011,1
17-1012,1
17-1021,1
17-1022,1
17-2011,1
17-2021,1
17-2031,1
17-2041,1
17-2051,1
17-2061,1
17-2071,1
17-2072,1
17-2081,1
17-2111,1
17-2112,1
17-2121,1
17-2131,1
17-2141,1
17-2151,1
17-2161,1
17-2171,1
17-2199,1
17-3011,1
17-3012,1
17-3013,1
17-3019,1
17-3021,1
17-3022,1
17-3023,1
17-3024,1
17-3025,1
17-3026,1
17-3027,1
17-3029,1
17-3031,1
19-1011,1
19-1012,1
19-1013,1
19-1021,1
19-1022,1
19-1023,1
19-1029,1
19-1031,1
19-1032,1
19-1041,1
19-1042,1
19-1099,1
19-2011,1
19-2012,1
19-2021,1
19-2031,1
19-2032,1
19-2041,1
19-2042,1
19-2043,1
19-2099,1
19-4011,1
19-4021,1
19-4031,1
19-4041,1
19-4051,1
19-4091,1
19-4092,1
19-4093,1
19-4099,1
25-1021,1
25-1022,1
25-1031,1
25-1032,1
25-1041,1
25-1042,1
25-1043,1
25-1051,1
25-1052,1
25-1053,1
25-1054,1
41-4011,1
41-9031,1
